"Number","Name","PositionCode","Height","Weight","Age","Experience","College","Team","Conference","Division","City"
"15","Kearse, Jermaine","WR","6-1","209","27","6","Washington","Seahawks","NFC","NFC-West","Seattle, WA"
"55","Clark, Frank","DE","6-3","260","23","3","Michigan","Seahawks","NFC","NFC-West","Seattle, WA"
"38","Madden, Tre","RB","6-0","223","23","2","USC","Seahawks","NFC","NFC-West","Seattle, WA"
"44","Johnson, Malcolm","FB","6-1","231","24","3","Mississippi State","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","McDougald, Bradley","S","6-1","209","26","5","Kansas","Seahawks","NFC","NFC-West","Seattle, WA"
"20","Lane, Jeremy","CB","6-0","190","26","6","Northwestern State-Louisiana","Seahawks","NFC","NFC-West","Seattle, WA"
"63","Glowinski, Mark","G","6-4","310","24","3","West Virginia","Seahawks","NFC","NFC-West","Seattle, WA"
"41","McDonald, Dewey","LB","6-0","220","26","4","California (PA)","Seahawks","NFC","NFC-West","Seattle, WA"
"37","Taylor, Kelvin","RB","5-10","212","23","2","Florida","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","Lunsford, John","K","6-1","180","23","2","Liberty","Seahawks","NFC","NFC-West","Seattle, WA"
"58","Pierre-Louis, Kevin","LB","6-0","230","25","4","Boston College","Seahawks","NFC","NFC-West","Seattle, WA"
"34","Rawls, Thomas","RB","5-9","215","23","3","Central Michigan","Seahawks","NFC","NFC-West","Seattle, WA"
"75","Pericak, Will","G/C","6-3","300","27","3","Colorado","Seahawks","NFC","NFC-West","Seattle, WA"
"66","Burbank, Ross","C","6-4","294","24","2","Virginia","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","Wilhoite, Michael","LB","6-0","240","30","6","Washburn","Seahawks","NFC","NFC-West","Seattle, WA"
"10","Richardson, Paul","WR","6-0","183","24","4","Colorado","Seahawks","NFC","NFC-West","Seattle, WA"
"76","Ifedi, Germain","G","6'5","325","22","2","Texas A&M","Seahawks","NFC","NFC-West","Seattle, WA"
"85","Lucas, Marcus","TE","6-4","218","25","4","Missouri","Seahawks","NFC","NFC-West","Seattle, WA"
"69","Ott, Tyler","LS","6-3","253","25","3","Harvard","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","Garvin, Terence","LB","6-3","235","26","5","West Virginia","Seahawks","NFC","NFC-West","Seattle, WA"
"9","Ryan, Jon","P","6-0","217","35","12","Regina (Canada)","Seahawks","NFC","NFC-West","Seattle, WA"
"90","Reed, Jarran","DT","6-3","311","24","2","Alabama","Seahawks","NFC","NFC-West","Seattle, WA"
"64","Harris, Tylor","DE","6-4","306","23","2","Wake Forest","Seahawks","NFC","NFC-West","Seattle, WA"
"39","Farmer, George","RB","6-1","220","23","3","USC","Seahawks","NFC","NFC-West","Seattle, WA"
"35","Shead, DeShawn","DB","6-2","212","27","6","Portland State","Seahawks","NFC","NFC-West","Seattle, WA"
"22","Prosise, C.J.","RB","6-1","220","22","2","Notre Dame","Seahawks","NFC","NFC-West","Seattle, WA"
"27","Thorpe, Neiko","CB","6-1","198","27","5","Auburn","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","Coe, Rodney","DT","6-3","315","23","3","Akron","Seahawks","NFC","NFC-West","Seattle, WA"
"25","Sherman, Richard","CB","6-3","195","29","7","Stanford","Seahawks","NFC","NFC-West","Seattle, WA"
"81","Vannett, Nick","TE","6-5","257","24","2","Ohio State","Seahawks","NFC","NFC-West","Seattle, WA"
"18","Williams, Kasen","WR","6-1","219","24","3","Washington","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","Smith, Rodney","WR","6-5","225","27","5","Florida State","Seahawks","NFC","NFC-West","Seattle, WA"
"29","Thomas, Earl","FS","5-10","202","27","8","Texas","Seahawks","NFC","NFC-West","Seattle, WA"
"70","Odhiambo, Rees","G","6-4","315","24","2","Boise State","Seahawks","NFC","NFC-West","Seattle, WA"
"62","Myers, Robert","T","6-5","329","25","3","Tennessee State","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","Briggs, Chris","TE","6-5","220","24","2","Southeastern Louisiana","Seahawks","NFC","NFC-West","Seattle, WA"
"54","Wagner, Bobby","LB","6-0","245","26","6","Utah State","Seahawks","NFC","NFC-West","Seattle, WA"
"99","Jefferson, Quinton","DT","6-4","291","24","2","Maryland","Seahawks","NFC","NFC-West","Seattle, WA"
"98","Smith, Garrison","DT","6-1","310","25","4","Georgia","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","Johnson, Jamel","WR","6-2","225","25","3","Alabama State","Seahawks","NFC","NFC-West","Seattle, WA"
"82","Willson, Luke","TE","6-5","252","27","5","Rice","Seahawks","NFC","NFC-West","Seattle, WA"
"36","Collins, Alex","RB","5-10","217","22","2","Arkansas","Seahawks","NFC","NFC-West","Seattle, WA"
"28","Desir, Pierre","FS","6-2","198","26","5","Lindenwood","Seahawks","NFC","NFC-West","Seattle, WA"
"N/A","McCray, Demetrius","CB","6-2","187","25","5","Appalachian State","Seahawks","NFC","NFC-West","Seattle, WA"
"56","Avril, Cliff","DE","6-3","260","30","10","Purdue","Seahawks","NFC","NFC-West","Seattle, WA"
"3","Wilson, Russell","QB","5-11","215","28","6","Wisconsin","Seahawks","NFC","NFC-West","Seattle, WA"
"53","Hunt, Joey","C","6-2","299","23","2","Texas Christian","Seahawks","NFC","NFC-West","Seattle, WA"
